,Theta,Phi,Accuracy
596,0.35000000000000003,0.55,16.955
597,0.35000000000000003,0.5750000000000001,14.4775
598,0.35000000000000003,0.6000000000000001,13.6875
599,0.35000000000000003,0.625,13.6525
600,0.35000000000000003,0.65,14.6375
601,0.35000000000000003,0.675,14.7375
602,0.35000000000000003,0.7000000000000001,12.7825
603,0.35000000000000003,0.7250000000000001,12.8325
604,0.35000000000000003,0.75,11.9875
605,0.35000000000000003,0.775,11.5925
606,0.35000000000000003,0.8,12.345
607,0.35000000000000003,0.8250000000000001,12.13
608,0.35000000000000003,0.8500000000000001,10.69
609,0.35000000000000003,0.875,10.89
610,0.35000000000000003,0.9,9.8
611,0.35000000000000003,0.925,11.2925
612,0.35000000000000003,0.9500000000000001,10.915
613,0.35000000000000003,0.9750000000000001,9.165
614,0.35000000000000003,1.0,10.8975
615,0.375,0.0,44.025
616,0.375,0.025,44.88
617,0.375,0.05,42.595
618,0.375,0.07500000000000001,42.5775
619,0.375,0.1,42.95
620,0.375,0.125,40.195
621,0.375,0.15000000000000002,39.285
622,0.375,0.17500000000000002,37.4875
623,0.375,0.2,37.62
624,0.375,0.225,35.58
625,0.375,0.25,34.2475
626,0.375,0.275,31.89
627,0.375,0.30000000000000004,31.3475
628,0.375,0.325,28.09
629,0.375,0.35000000000000003,26.045
630,0.375,0.375,26.09
631,0.375,0.4,25.985
632,0.375,0.42500000000000004,22.2725
633,0.375,0.45,20.1725
634,0.375,0.47500000000000003,18.985
635,0.375,0.5,19.225
636,0.375,0.525,18.925
637,0.375,0.55,17.5275
638,0.375,0.5750000000000001,15.8675
639,0.375,0.6000000000000001,13.865
640,0.375,0.625,14.3525
641,0.375,0.65,13.365
642,0.375,0.675,13.0575
643,0.375,0.7000000000000001,13.105
644,0.375,0.7250000000000001,12.3275
645,0.375,0.75,11.825
646,0.375,0.775,12.265
647,0.375,0.8,11.2025
648,0.375,0.8250000000000001,9.9575
649,0.375,0.8500000000000001,11.44
650,0.375,0.875,9.905
651,0.375,0.9,10.84
652,0.375,0.925,11.47
653,0.375,0.9500000000000001,9.9
654,0.375,0.9750000000000001,11.835
655,0.375,1.0,10.55
656,0.4,0.0,39.3625
657,0.4,0.025,40.79
658,0.4,0.05,40.4975
659,0.4,0.07500000000000001,38.67
660,0.4,0.1,38.505
661,0.4,0.125,37.88
662,0.4,0.15000000000000002,34.63
663,0.4,0.17500000000000002,36.7475
664,0.4,0.2,33.595
665,0.4,0.225,33.3675
666,0.4,0.25,30.925
667,0.4,0.275,30.35
668,0.4,0.30000000000000004,27.7525
669,0.4,0.325,27.2825
670,0.4,0.35000000000000003,25.9375
671,0.4,0.375,23.0675
672,0.4,0.4,22.9575
673,0.4,0.42500000000000004,21.3825
674,0.4,0.45,19.845
675,0.4,0.47500000000000003,19.475
676,0.4,0.5,17.515
677,0.4,0.525,17.13
678,0.4,0.55,17.505
679,0.4,0.5750000000000001,15.2375
680,0.4,0.6000000000000001,13.8175
681,0.4,0.625,13.67
682,0.4,0.65,12.295
683,0.4,0.675,13.17
684,0.4,0.7000000000000001,11.935
685,0.4,0.7250000000000001,13.37
686,0.4,0.75,11.885
687,0.4,0.775,11.6775
688,0.4,0.8,13.0775
689,0.4,0.8250000000000001,10.855
690,0.4,0.8500000000000001,11.15
691,0.4,0.875,11.9475
692,0.4,0.9,10.2225
693,0.4,0.925,10.7425
694,0.4,0.9500000000000001,11.0225
695,0.4,0.9750000000000001,10.595
696,0.4,1.0,10.0525
697,0.42500000000000004,0.0,38.025
698,0.42500000000000004,0.025,36.93
699,0.42500000000000004,0.05,39.3525
700,0.42500000000000004,0.07500000000000001,35.1525
701,0.42500000000000004,0.1,37.3925
702,0.42500000000000004,0.125,36.4425
703,0.42500000000000004,0.15000000000000002,36.7125
704,0.42500000000000004,0.17500000000000002,33.195
705,0.42500000000000004,0.2,33.615
706,0.42500000000000004,0.225,31.27
707,0.42500000000000004,0.25,30.5875
708,0.42500000000000004,0.275,29.365
709,0.42500000000000004,0.30000000000000004,26.86
710,0.42500000000000004,0.325,27.79
711,0.42500000000000004,0.35000000000000003,24.615
712,0.42500000000000004,0.375,22.1925
713,0.42500000000000004,0.4,21.325
714,0.42500000000000004,0.42500000000000004,20.75
715,0.42500000000000004,0.45,20.3225
716,0.42500000000000004,0.47500000000000003,17.83
717,0.42500000000000004,0.5,17.7225
718,0.42500000000000004,0.525,18.255
719,0.42500000000000004,0.55,16.3525
720,0.42500000000000004,0.5750000000000001,14.5225
721,0.42500000000000004,0.6000000000000001,14.6925
722,0.42500000000000004,0.625,13.8125
723,0.42500000000000004,0.65,14.75
724,0.42500000000000004,0.675,13.7975
725,0.42500000000000004,0.7000000000000001,11.5275
726,0.42500000000000004,0.7250000000000001,12.7425
727,0.42500000000000004,0.75,10.92
728,0.42500000000000004,0.775,11.3425
729,0.42500000000000004,0.8,12.4725
730,0.42500000000000004,0.8250000000000001,11.235
731,0.42500000000000004,0.8500000000000001,11.815
732,0.42500000000000004,0.875,10.9875
733,0.42500000000000004,0.9,11.6375
734,0.42500000000000004,0.925,9.8375
735,0.42500000000000004,0.9500000000000001,11.2775
736,0.42500000000000004,0.9750000000000001,9.55
737,0.42500000000000004,1.0,9.87
738,0.45,0.0,37.2025
739,0.45,0.025,35.6375
740,0.45,0.05,34.345
741,0.45,0.07500000000000001,35.175
742,0.45,0.1,35.825
743,0.45,0.125,33.4575
744,0.45,0.15000000000000002,31.9125
745,0.45,0.17500000000000002,33.4275
746,0.45,0.2,33.4375
747,0.45,0.225,29.0175
748,0.45,0.25,28.1125
749,0.45,0.275,26.6375
750,0.45,0.30000000000000004,26.695
751,0.45,0.325,24.3775
752,0.45,0.35000000000000003,22.24
753,0.45,0.375,20.5025
754,0.45,0.4,20.955
755,0.45,0.42500000000000004,19.345
756,0.45,0.45,18.72
757,0.45,0.47500000000000003,16.99
758,0.45,0.5,17.4925
759,0.45,0.525,15.8725
760,0.45,0.55,15.13
761,0.45,0.5750000000000001,14.86
762,0.45,0.6000000000000001,13.3725
763,0.45,0.625,13.9025
764,0.45,0.65,13.4075
765,0.45,0.675,14.0975
766,0.45,0.7000000000000001,13.26
767,0.45,0.7250000000000001,12.295
768,0.45,0.75,10.3225
769,0.45,0.775,11.9875
770,0.45,0.8,10.4825
771,0.45,0.8250000000000001,11.255
772,0.45,0.8500000000000001,10.095
773,0.45,0.875,10.61
774,0.45,0.9,10.8825
775,0.45,0.925,10.985
776,0.45,0.9500000000000001,11.0925
777,0.45,0.9750000000000001,11.395
778,0.45,1.0,9.455
