,Theta,Phi,Accuracy
443,0.25,0.8250000000000001,13.0375
444,0.25,0.8500000000000001,12.9525
445,0.25,0.875,12.6825
446,0.25,0.9,12.9375
447,0.25,0.925,13.305
448,0.25,0.9500000000000001,12.89
449,0.25,0.9750000000000001,12.0225
450,0.25,1.0,11.5725
451,0.275,0.0,37.56
452,0.275,0.025,38.1225
453,0.275,0.05,38.24
454,0.275,0.07500000000000001,37.4975
455,0.275,0.1,35.8725
456,0.275,0.125,35.0925
457,0.275,0.15000000000000002,35.4525
458,0.275,0.17500000000000002,33.2
459,0.275,0.2,33.2875
460,0.275,0.225,30.9275
461,0.275,0.25,29.0675
462,0.275,0.275,28.1775
463,0.275,0.30000000000000004,28.1175
464,0.275,0.325,25.24
465,0.275,0.35000000000000003,25.9775
466,0.275,0.375,23.3675
467,0.275,0.4,22.835
468,0.275,0.42500000000000004,21.0525
469,0.275,0.45,21.335
470,0.275,0.47500000000000003,20.125
471,0.275,0.5,20.1575
472,0.275,0.525,19.3975
473,0.275,0.55,17.38
474,0.275,0.5750000000000001,17.5225
475,0.275,0.6000000000000001,15.1125
476,0.275,0.625,16.4075
477,0.275,0.65,15.3275
478,0.275,0.675,14.625
479,0.275,0.7000000000000001,14.945
480,0.275,0.7250000000000001,14.6175
481,0.275,0.75,14.1875
482,0.275,0.775,14.1125
483,0.275,0.8,12.8625
484,0.275,0.8250000000000001,13.23
485,0.275,0.8500000000000001,13.335
486,0.275,0.875,11.9175
487,0.275,0.9,12.4
488,0.275,0.925,11.9075
489,0.275,0.9500000000000001,12.8925
490,0.275,0.9750000000000001,11.7
491,0.275,1.0,12.2325
492,0.30000000000000004,0.0,36.5675
493,0.30000000000000004,0.025,37.54
494,0.30000000000000004,0.05,36.225
495,0.30000000000000004,0.07500000000000001,34.8075
496,0.30000000000000004,0.1,34.54
497,0.30000000000000004,0.125,33.51
498,0.30000000000000004,0.15000000000000002,34.53
499,0.30000000000000004,0.17500000000000002,31.7425
500,0.30000000000000004,0.2,30.9275
501,0.30000000000000004,0.225,29.5225
502,0.30000000000000004,0.25,27.355
503,0.30000000000000004,0.275,28.2725
504,0.30000000000000004,0.30000000000000004,25.6125
505,0.30000000000000004,0.325,23.9
506,0.30000000000000004,0.35000000000000003,23.52
507,0.30000000000000004,0.375,23.2975
508,0.30000000000000004,0.4,22.295
509,0.30000000000000004,0.42500000000000004,21.1375
510,0.30000000000000004,0.45,21.175
511,0.30000000000000004,0.47500000000000003,19.31
512,0.30000000000000004,0.5,18.81
513,0.30000000000000004,0.525,18.5875
514,0.30000000000000004,0.55,17.6375
515,0.30000000000000004,0.5750000000000001,16.28
516,0.30000000000000004,0.6000000000000001,16.1625
517,0.30000000000000004,0.625,15.2925
518,0.30000000000000004,0.65,15.565
519,0.30000000000000004,0.675,14.665
520,0.30000000000000004,0.7000000000000001,14.3025
521,0.30000000000000004,0.7250000000000001,14.33
522,0.30000000000000004,0.75,13.7525
523,0.30000000000000004,0.775,14.41
524,0.30000000000000004,0.8,14.245
525,0.30000000000000004,0.8250000000000001,12.8025
526,0.30000000000000004,0.8500000000000001,13.455
527,0.30000000000000004,0.875,13.2575
528,0.30000000000000004,0.9,13.8125
529,0.30000000000000004,0.925,12.785
530,0.30000000000000004,0.9500000000000001,12.395
531,0.30000000000000004,0.9750000000000001,13.38
532,0.30000000000000004,1.0,12.48
533,0.325,0.0,33.0925
534,0.325,0.025,35.875
535,0.325,0.05,33.1925
536,0.325,0.07500000000000001,33.075
537,0.325,0.1,32.765
538,0.325,0.125,32.4025
539,0.325,0.15000000000000002,31.075
540,0.325,0.17500000000000002,29.9825
541,0.325,0.2,28.9825
542,0.325,0.225,29.2275
543,0.325,0.25,27.1325
544,0.325,0.275,25.5825
545,0.325,0.30000000000000004,25.25
546,0.325,0.325,23.9175
547,0.325,0.35000000000000003,23.145
548,0.325,0.375,21.4
549,0.325,0.4,22.485
550,0.325,0.42500000000000004,21.1875
551,0.325,0.45,19.195
552,0.325,0.47500000000000003,18.5125
553,0.325,0.5,18.3475
554,0.325,0.525,18.165
555,0.325,0.55,17.4775
556,0.325,0.5750000000000001,17.0175
557,0.325,0.6000000000000001,16.08
558,0.325,0.625,15.7675
559,0.325,0.65,15.5325
560,0.325,0.675,14.3525
561,0.325,0.7000000000000001,14.7525
562,0.325,0.7250000000000001,14.72
563,0.325,0.75,13.9075
564,0.325,0.775,13.2525
565,0.325,0.8,13.445
566,0.325,0.8250000000000001,13.645
567,0.325,0.8500000000000001,13.0025
568,0.325,0.875,13.015
569,0.325,0.9,11.9475
570,0.325,0.925,12.42
